Product ID,Category,Sub Category,Color,Sizes,Production Cost
103,Children,Pajamas-2,,P|M|G,11.41
104,Children,Accessories,,,7.04
105,Feminine,Coats and Blazers,YELLOW,S|M|L|XL,26.81
106,Feminine,Sweaters and Knitwear,TURQUOISE,S|M|L,11.18
107,Feminine,Dresses and Jumpsuits,,S|M|L,32.04
108,Feminine,Shirts and Blouses,,S|M|L|XL,19.77
109,Feminine,T-shirts and Tops,,S|M|L|XL,9.05
110,Feminine,Pants and Jeans,,36|38|40|42|44|46,34.1
111,Feminine,Skirts and Shorts,,S|M|L|XL,10.34
112,Feminine,Suits and Sets,,S|M|L|XL,60.91
113,Feminine,Sportswear,,S|M|L|XL,10.6
114,Feminine,Pajamas,,S|M|L|XL,6.48
115,Feminine,Accessories,,,2.78
116,Masculine,Coats and Blazers,NEUTRAL,M|L|XL|XXL,28.35
117,Masculine,Sweaters and Sweatshirts,GREEN,M|L|XL,15.69
118,Masculine,T-shirts and Polos,BURGUNDY,M|L|XL|XXL,30.18
119,Masculine,Shirts,,M|L|XL|XXL,5.78
120,Masculine,Pants and Jeans,,38|40|42|44|46|48,19.09
121,Masculine,Suits,,M|L|XL|XXL,27.76
122,Masculine,Sportswear,,M|L|XL|XXL,14.62
123,Masculine,Blazers,,M|L|XL|XXL,15.74
124,Masculine,Accessories,,,5.76
125,Children,Baby (0-12 months),,P|M|G,14.86
126,Children,"Girl and Boy (1-5 years, 6-14 years)",GREEN,P|M|G|GG,20.82
127,Children,Coats,BLUE,P|M|G,29.51
128,Children,Sweaters,,P|M|G,21.77
129,Children,Pajamas-2,,P|M|G,13.61
130,Children,Accessories,,,8.91
131,Feminine,Coats and Blazers,BLUE,S|M|L|XL,49.28
132,Feminine,Sweaters and Knitwear,LILAC,S|M|L|XL,15.05
133,Feminine,Dresses and Jumpsuits,TURQUOISE,S|M|L|XL,35.75
134,Feminine,Shirts and Blouses,,S|M|L|XL,25.07
135,Feminine,T-shirts and Tops,,S|M|L|XL,6.95
136,Feminine,Pants and Jeans,,36|38|40|42|44,4.9
137,Feminine,Skirts and Shorts,,S|M|L,19.9
138,Feminine,Suits and Sets,,S|M|L|XL,27.1
139,Feminine,Sportswear,,S|M|L|XL,22.07
140,Feminine,Pajamas,,S|M|L|XL,7.07
141,Feminine,Accessories,,,3.49
142,Masculine,Coats and Blazers,GREEN,M|L|XL|XXL,14.16
143,Masculine,Sweaters and Sweatshirts,BLACK,M|L|XL|XXL,11.82
144,Masculine,T-shirts and Polos,TURQUOISE,M|L|XL,29.45
145,Masculine,Shirts,,M|L|XL,11.58
146,Masculine,Pants and Jeans,,38|40|42|44|46|48,8.24
147,Masculine,Suits,,M|L|XL|XXL,17.53
148,Masculine,Sportswear,,M|L|XL|XXL,7.01
149,Masculine,Blazers,,M|L|XL|XXL,5.43
150,Masculine,Accessories,,,1.78
151,Children,Baby (0-12 months),,P|M|G,7.41
152,Children,"Girl and Boy (1-5 years, 6-14 years)",SILVER,P|M|G,27.81
153,Children,Coats,SILVER,P|M|G,22.08
154,Children,Sweaters,,P|M|G,15.09
155,Children,Pajamas-2,,P|M|G,13.06
156,Children,Accessories,,,2.43
157,Feminine,Coats and Blazers,SILVER,S|M|L|XL,10.49
158,Feminine,Sweaters and Knitwear,BURGUNDY,S|M|L,22.89
159,Feminine,Dresses and Jumpsuits,BEIGE,S|M|L,32.17
160,Feminine,Shirts and Blouses,,S|M|L|XL,5.28
161,Feminine,T-shirts and Tops,,S|M|L|XL,10
162,Feminine,Pants and Jeans,,36|38|40|42|44|46,29.13
163,Feminine,Skirts and Shorts,,S|M|L|XL,12.95
164,Feminine,Suits and Sets,,S|M|L|XL,60.27
165,Feminine,Sportswear,,S|M|L|XL,16.78
166,Feminine,Pajamas,,S|M|L|XL,20.77
167,Feminine,Accessories,,,9.43
168,Masculine,Coats and Blazers,RED,M|L|XL|XXL,21.82
169,Masculine,Sweaters and Sweatshirts,SILVER,M|L|XL|XXL,19.2
170,Masculine,T-shirts and Polos,PINK,M|L|XL|XXL,5.76
171,Masculine,Shirts,,M|L|XL|XXL,14.43
172,Masculine,Pants and Jeans,,38|40|42|44,13.48
173,Masculine,Suits,,M|L|XL|XXL,37.61
174,Masculine,Sportswear,,M|L|XL,9.5
175,Masculine,Blazers,,M|L|XL|XXL,6
176,Masculine,Accessories,,,3.3
177,Children,Baby (0-12 months),,P|M|G,7.24
178,Children,"Girl and Boy (1-5 years, 6-14 years)",,P|M|G|GG,13.01
179,Children,Coats,BLUE,P|M|G,15.16
180,Children,Sweaters,,P|M|G,6.88
181,Children,Pajamas-2,,P|M|G,21.32
182,Children,Accessories,,,15.04
183,Feminine,Coats and Blazers,GREEN,S|M|L|XL,28.67
184,Feminine,Sweaters and Knitwear,YELLOW,S|M|L|XL,13.64
185,Feminine,Dresses and Jumpsuits,BLUE,S|M|L|XL,17.48
186,Feminine,Shirts and Blouses,,S|M|L|XL,5.19
187,Feminine,T-shirts and Tops,,S|M|L|XL,13.51
188,Feminine,Pants and Jeans,,36|38|40|42|44|46,55.71
189,Feminine,Skirts and Shorts,,S|M|L|XL,8.6
190,Feminine,Suits and Sets,,S|M|L|XL,27.87
191,Feminine,Sportswear,,S|M|L|XL,13.8
192,Feminine,Pajamas,,S|M|L|XL,13.99
193,Feminine,Accessories,,,13.56
194,Masculine,Coats and Blazers,BLUE,M|L|XL|XXL,25.14
195,Masculine,Sweaters and Sweatshirts,BLACK,M|L|XL|XXL,15.13
196,Masculine,T-shirts and Polos,,M|L|XL|XXL,11.73
197,Masculine,Shirts,,M|L|XL|XXL,10.54
198,Masculine,Pants and Jeans,,38|40|42|44|46|48,55.24
199,Masculine,Suits,,M|L|XL|XXL,48.8
200,Masculine,Sportswear,,M|L|XL|XXL,18.18
201,Masculine,Blazers,,M|L|XL|XXL,6.83
202,Masculine,Accessories,,,3.66
203,Children,Baby (0-12 months),MUSTARD,P|M|G,23.94
204,Children,"Girl and Boy (1-5 years, 6-14 years)",TURQUOISE,P|M|G|GG,21.75
205,Children,Coats,SILVER,P|M|G,22.82
206,Children,Sweaters,,P|M|G,9.12
207,Children,Pajamas-2,,P|M|G,2.92
208,Children,Accessories,,,5.23
209,Feminine,Coats and Blazers,BLUE,S|M|L|XL,28.96
210,Feminine,Sweaters and Knitwear,BLACK,S|M|L|XL,14.6
211,Feminine,Dresses and Jumpsuits,BLUE,S|M|L|XL,21.37
212,Feminine,Shirts and Blouses,,S|M|L|XL,11.81
213,Feminine,T-shirts and Tops,,S|M|L|XL,10.9
214,Feminine,Pants and Jeans,,36|38|40|42|44|46,20.9
215,Feminine,Skirts and Shorts,,S|M|L|XL,8.75
216,Feminine,Suits and Sets,,S|M|L|XL,25.25
217,Feminine,Sportswear,,S|M|L|XL,5.68
218,Feminine,Pajamas,,S|M|L|XL,5.8
219,Feminine,Accessories,GOLD,,11.52
220,Masculine,Coats and Blazers,YELLOW,M|L|XL,14.68
221,Masculine,Sweaters and Sweatshirts,BEIGE,M|L|XL|XXL,12.32
222,Masculine,T-shirts and Polos,GREEN,M|L|XL|XXL,3.89
223,Masculine,Shirts,,M|L|XL,6.63
224,Masculine,Pants and Jeans,,38|40|42|44|46|48,45.57
225,Masculine,Suits,,M|L|XL|XXL,22.3
226,Masculine,Sportswear,,M|L|XL|XXL,12.61
227,Masculine,Blazers,,M|L|XL|XXL,6.15
228,Masculine,Accessories,,,12.29
229,Children,Baby (0-12 months),WHITE,P|M|G,14.43
230,Children,"Girl and Boy (1-5 years, 6-14 years)",BLUE,P|M|G|GG,26.51
231,Children,Coats,SILVER,P|M|G,29.9
232,Children,Sweaters,,P|M|G,11.82
233,Children,Pajamas-2,,P|M|G,3.91
234,Children,Accessories,,,7.44
235,Feminine,Coats and Blazers,GREEN,S|M|L|XL,25.69
236,Feminine,Sweaters and Knitwear,GREEN,S|M|L|XL,14.34
237,Feminine,Dresses and Jumpsuits,SILVER,S|M|L,24.07
238,Feminine,Shirts and Blouses,,S|M|L|XL,9.35
239,Feminine,T-shirts and Tops,,S|M|L|XL,14.05
240,Feminine,Pants and Jeans,,36|38|40|42,15.34
241,Feminine,Skirts and Shorts,,S|M|L|XL,21.71
242,Feminine,Suits and Sets,,S|M|L|XL,34.95
243,Feminine,Sportswear,,S|M|L|XL,17.34
244,Feminine,Pajamas,,S|M|L|XL,16.25
245,Feminine,Accessories,SILVER,,7.99
246,Masculine,Coats and Blazers,BURGUNDY,M|L|XL|XXL,41.43
247,Masculine,Sweaters and Sweatshirts,BLUE,M|L|XL|XXL,10.29
248,Masculine,T-shirts and Polos,BURGUNDY,M|L|XL|XXL,9.67
249,Masculine,Shirts,,M|L|XL|XXL,9.09
250,Masculine,Pants and Jeans,,38|40|42|44|46|48,40.6
251,Masculine,Suits,,M|L|XL|XXL,28.42
252,Masculine,Sportswear,,M|L|XL|XXL,5.2
253,Masculine,Blazers,,M|L|XL|XXL,9.69
254,Masculine,Accessories,,,4.12
255,Children,Baby (0-12 months),TURQUOISE,P|M|G,9.28
256,Children,"Girl and Boy (1-5 years, 6-14 years)",RED,P|M|G|GG,23.08
257,Children,Coats,TURQUOISE,P|M|G,14.64
258,Children,Sweaters,,P|M|G,7.36
259,Children,Pajamas-2,,P|M|G,8.99
260,Children,Accessories,,,5.88
261,Feminine,Coats and Blazers,MUSTARD,S|M|L|XL,23.75
262,Feminine,Sweaters and Knitwear,TURQUOISE,S|M|L|XL,23.71
263,Feminine,Dresses and Jumpsuits,,S|M|L|XL,27.27
264,Feminine,Shirts and Blouses,,S|M|L,22.37
265,Feminine,T-shirts and Tops,,S|M|L|XL,17.28
266,Feminine,Pants and Jeans,,36|38|40|42|44,19.32
267,Feminine,Skirts and Shorts,,S|M|L|XL,11.96
268,Feminine,Suits and Sets,,S|M|L|XL,36.52
269,Feminine,Sportswear,,S|M|L|XL,3.55
270,Feminine,Pajamas,,S|M|L|XL,11.33
271,Feminine,Accessories,,,7.41
272,Masculine,Coats and Blazers,PINK,M|L|XL|XXL,22.2
273,Masculine,Sweaters and Sweatshirts,BLACK,M|L|XL|XXL,23.46
274,Masculine,T-shirts and Polos,PINK,M|L|XL|XXL,5.93
275,Masculine,Shirts,,M|L|XL|XXL,17.21
276,Masculine,Pants and Jeans,,38|40|42|44|46,13.27
277,Masculine,Suits,,M|L|XL|XXL,62.48
278,Masculine,Sportswear,,M|L|XL|XXL,27.61
279,Masculine,Blazers,,M|L|XL|XXL,10.8
280,Masculine,Accessories,,,10.98
281,Children,Baby (0-12 months),SILVER,P|M|G,13.23
282,Children,"Girl and Boy (1-5 years, 6-14 years)",BLUE,P|M|G,9.61
283,Children,Coats,GREEN,P|M|G,14.11
284,Children,Sweaters,,P|M|G,24.5
285,Children,Pajamas-2,,P|M|G,5.32
286,Children,Accessories,,,2.99
287,Feminine,Coats and Blazers,BLUE,S|M|L,11.29
288,Feminine,Sweaters and Knitwear,BEIGE,S|M|L|XL,27.22
289,Feminine,Dresses and Jumpsuits,GOLD,S|M|L|XL,13.07
290,Feminine,Shirts and Blouses,,S|M|L,17.33
291,Feminine,T-shirts and Tops,,S|M|L|XL,7.07
292,Feminine,Pants and Jeans,,36|38|40|42|44|46,41.24
293,Feminine,Skirts and Shorts,,S|M|L|XL,6.98
294,Feminine,Suits and Sets,,S|M|L|XL,30.85
295,Feminine,Sportswear,,S|M|L|XL,23.55
296,Feminine,Pajamas,,S|M|L|XL,6.57
297,Feminine,Accessories,,,2.52
298,Masculine,Coats and Blazers,MUSTARD,M|L|XL|XXL,25.43
299,Masculine,Sweaters and Sweatshirts,BLACK,M|L|XL|XXL,16.39
300,Masculine,T-shirts and Polos,NEUTRAL,M|L|XL|XXL,10.58
301,Masculine,Shirts,,M|L|XL|XXL,7.29
302,Masculine,Pants and Jeans,,38|40|42|44|46|48,9.8
303,Masculine,Suits,,M|L|XL,42.33
304,Masculine,Sportswear,,M|L|XL|XXL,17.39
305,Masculine,Blazers,,M|L|XL|XXL,22.62
306,Masculine,Accessories,,,16.41
307,Children,Baby (0-12 months),GREEN,P|M|G,10.35
308,Children,"Girl and Boy (1-5 years, 6-14 years)",YELLOW,P|M|G|GG,18.29
309,Children,Coats,MUSTARD,P|M|G,14.99
310,Children,Sweaters,,P|M|G,15.69
311,Children,Pajamas-2,,P|M|G,11.27
312,Children,Accessories,,,6.36
313,Feminine,Coats and Blazers,PINK,S|M|L,20.47
314,Feminine,Sweaters and Knitwear,GREEN,S|M|L|XL,10.14
315,Feminine,Dresses and Jumpsuits,,S|M|L|XL,13.84
316,Feminine,Shirts and Blouses,,S|M|L|XL,9.93
317,Feminine,T-shirts and Tops,,S|M|L|XL,2.73
318,Feminine,Pants and Jeans,,36|38|40|42|44|46,35.27
319,Feminine,Skirts and Shorts,,S|M|L|XL,5.4
320,Feminine,Suits and Sets,,S|M|L|XL,27.02
321,Feminine,Sportswear,,S|M|L|XL,4.84
322,Feminine,Pajamas,,S|M|L|XL,8.13
323,Feminine,Accessories,,,0.93
324,Masculine,Coats and Blazers,WHITE,M|L|XL,14.38
325,Masculine,Sweaters and Sweatshirts,TURQUOISE,M|L|XL|XXL,9.12
326,Masculine,T-shirts and Polos,SILVER,M|L|XL|XXL,28.78
327,Masculine,Shirts,,M|L|XL|XXL,5.11
328,Masculine,Pants and Jeans,,38|40|42|44|46|48,29.78
329,Masculine,Suits,,M|L|XL|XXL,18.85
330,Masculine,Sportswear,,M|L|XL|XXL,18.27
331,Masculine,Blazers,,M|L|XL,9.26
332,Masculine,Accessories,,,1.27
333,Children,Baby (0-12 months),YELLOW,P|M|G,8.05
334,Children,"Girl and Boy (1-5 years, 6-14 years)",YELLOW,P|M|G|GG,4.27
335,Children,Coats,NEUTRAL,P|M|G,18.71
336,Children,Sweaters,,P|M|G,4.29
337,Children,Pajamas-2,,P|M|G,10.12
338,Children,Accessories,,,5.26
339,Feminine,Coats and Blazers,TURQUOISE,S|M|L,30.11
340,Feminine,Sweaters and Knitwear,BLUE,S|M|L|XL,11.16
341,Feminine,Dresses and Jumpsuits,TURQUOISE,S|M|L|XL,20.12
342,Feminine,Shirts and Blouses,,S|M|L|XL,12.5
343,Feminine,T-shirts and Tops,,S|M|L|XL,11.26
344,Feminine,Pants and Jeans,,36|38|40|42|44|46,27.53
345,Feminine,Skirts and Shorts,,S|M|L|XL,8.42
346,Feminine,Suits and Sets,,S|M|L|XL,71.77
347,Feminine,Sportswear,,S|M|L,26.42
348,Feminine,Pajamas,,S|M|L|XL,10.05
349,Feminine,Accessories,,,8.64
350,Masculine,Coats and Blazers,GREEN,M|L|XL|XXL,21.77
351,Masculine,Sweaters and Sweatshirts,,M|L|XL|XXL,3.94
352,Masculine,T-shirts and Polos,BLUE,M|L|XL|XXL,14.75
353,Masculine,Shirts,,M|L|XL|XXL,13.21
354,Masculine,Pants and Jeans,,38|40|42|44|46|48,22.44
355,Masculine,Suits,,M|L|XL|XXL,32.22
356,Masculine,Sportswear,,M|L|XL|XXL,8.51
357,Masculine,Blazers,,M|L|XL|XXL,11.99
358,Masculine,Accessories,,,8.52
359,Children,Baby (0-12 months),YELLOW,P|M|G,16.02
360,Children,"Girl and Boy (1-5 years, 6-14 years)",PINK,P|M|G|GG,12.38
361,Children,Coats,,P|M|G,11.1
362,Children,Sweaters,,P|M|G,18.39
363,Children,Pajamas-2,,P|M|G,6.63
364,Children,Accessories,,,5.3
365,Feminine,Coats and Blazers,SILVER,S|M|L|XL,5.84
366,Feminine,Sweaters and Knitwear,NEUTRAL,S|M|L|XL,9.32
367,Feminine,Dresses and Jumpsuits,,S|M|L|XL,24.35
368,Feminine,Shirts and Blouses,,S|M|L|XL,5.6
369,Feminine,T-shirts and Tops,,S|M|L|XL,14.76
370,Feminine,Pants and Jeans,,36|38|40|42|44|46,24.24
371,Feminine,Skirts and Shorts,,S|M|L,11.91
372,Feminine,Suits and Sets,,S|M|L|XL,17.23
373,Feminine,Sportswear,,S|M|L|XL,8.34
374,Feminine,Pajamas,,S|M|L|XL,8.19
375,Feminine,Accessories,,,12
376,Masculine,Coats and Blazers,BLUE,M|L|XL|XXL,21.75
377,Masculine,Sweaters and Sweatshirts,LILAC,M|L|XL|XXL,22.09
378,Masculine,T-shirts and Polos,,M|L|XL|XXL,7.75
379,Masculine,Shirts,,M|L|XL|XXL,10.64
380,Masculine,Pants and Jeans,,38|40|42|44|46|48,15.28
381,Masculine,Suits,,M|L|XL|XXL,17.45
382,Masculine,Sportswear,,M|L|XL|XXL,10.5
383,Masculine,Blazers,,M|L|XL|XXL,5.55
384,Masculine,Accessories,,,10.7
385,Children,Baby (0-12 months),RED,P|M|G,11.36
386,Children,"Girl and Boy (1-5 years, 6-14 years)",LILAC,P|M|G|GG,27.64
387,Children,Coats,PINK,P|M|G,6.98
388,Children,Sweaters,,P|M|G,21.3
389,Children,Pajamas-2,,P|M|G,6.48
390,Children,Accessories,,,4.92
391,Feminine,Coats and Blazers,TURQUOISE,S|M|L|XL,7.8
392,Feminine,Sweaters and Knitwear,TURQUOISE,S|M|L|XL,25.1
393,Feminine,Dresses and Jumpsuits,PINK,S|M|L|XL,14.11
394,Feminine,Shirts and Blouses,,S|M|L|XL,10.53
395,Feminine,T-shirts and Tops,,S|M|L|XL,18.51
396,Feminine,Pants and Jeans,,36|38|40|42|44|46,19.84
397,Feminine,Skirts and Shorts,,S|M|L|XL,10.55
398,Feminine,Suits and Sets,,S|M|L|XL,27.89
399,Feminine,Sportswear,,S|M|L|XL,21.32
400,Feminine,Pajamas,,S|M|L|XL,6.47
401,Feminine,Accessories,,,0.71
402,Masculine,Coats and Blazers,,M|L|XL|XXL,26.18
403,Masculine,Sweaters and Sweatshirts,PINK,M|L|XL|XXL,31.97
404,Masculine,T-shirts and Polos,WHITE,M|L|XL,14.04
405,Masculine,Shirts,,M|L|XL,10.73
406,Masculine,Pants and Jeans,,38|40|42|44|46|48,15.46
407,Masculine,Suits,,M|L|XL|XXL,37.92
408,Masculine,Sportswear,,M|L|XL|XXL,14.5
409,Masculine,Blazers,,M|L|XL|XXL,5.81
410,Masculine,Accessories,,,3.16
411,Children,Baby (0-12 months),LILAC,P|M|G,6.82
412,Children,"Girl and Boy (1-5 years, 6-14 years)",WHITE,P|M|G|GG,27.67
413,Children,Coats,YELLOW,P|M|G,30.42
414,Children,Sweaters,,P|M|G,8.93
415,Children,Pajamas-2,,P|M|G,13.77
416,Children,Accessories,,,11.01
417,Feminine,Coats and Blazers,BLACK,S|M|L|XL,29.49
418,Feminine,Sweaters and Knitwear,RED,S|M|L|XL,20.99
419,Feminine,Dresses and Jumpsuits,NEUTRAL,S|M|L|XL,29.76
420,Feminine,Shirts and Blouses,,S|M|L,18.47
421,Feminine,T-shirts and Tops,,S|M|L|XL,3.48
422,Feminine,Pants and Jeans,,36|38|40|42|44|46,12.5
423,Feminine,Skirts and Shorts,,S|M|L|XL,12.04
424,Feminine,Suits and Sets,,S|M|L,10.25
425,Feminine,Sportswear,,S|M|L|XL,10.56
426,Feminine,Pajamas,,S|M|L|XL,22.23
427,Feminine,Accessories,,,6.12
428,Masculine,Coats and Blazers,BLACK,M|L|XL|XXL,36.7
429,Masculine,Sweaters and Sweatshirts,BLUE,M|L|XL|XXL,10.49
430,Masculine,T-shirts and Polos,MUSTARD,M|L|XL|XXL,12.16
431,Masculine,Shirts,,M|L|XL,16.87
432,Masculine,Pants and Jeans,,38|40|42|44|46|48,11.38
433,Masculine,Suits,,M|L|XL,44.94
434,Masculine,Sportswear,,M|L|XL|XXL,9.1
435,Masculine,Blazers,,M|L|XL|XXL,9.02
436,Masculine,Accessories,,,3.4
437,Children,Baby (0-12 months),SILVER,P|M|G,14.38
438,Children,"Girl and Boy (1-5 years, 6-14 years)",BEIGE,P|M|G|GG,33.57
439,Children,Coats,,P|M|G,18.73
440,Children,Sweaters,,P|M|G,25.92
441,Children,Pajamas-2,,P|M|G,11.8
442,Children,Accessories,,,10.33
443,Feminine,Coats and Blazers,BURGUNDY,S|M|L|XL,31.38
444,Feminine,Sweaters and Knitwear,TURQUOISE,S|M|L,16.46
445,Feminine,Dresses and Jumpsuits,YELLOW,S|M|L|XL,10.12
446,Feminine,Shirts and Blouses,,S|M|L|XL,31.47
447,Feminine,T-shirts and Tops,,S|M|L|XL,8.95
448,Feminine,Pants and Jeans,,36|38|40|42|44|46,20.2
449,Feminine,Skirts and Shorts,,S|M|L,4.34
450,Feminine,Suits and Sets,,S|M|L,28.93
451,Feminine,Sportswear,,S|M|L,17.01
452,Feminine,Pajamas,,S|M|L|XL,11.77
453,Feminine,Accessories,,,6.08
454,Masculine,Coats and Blazers,SILVER,M|L|XL|XXL,18.28
455,Masculine,Sweaters and Sweatshirts,,M|L|XL|XXL,9.45
456,Masculine,T-shirts and Polos,YELLOW,M|L|XL|XXL,9.98
457,Masculine,Shirts,,M|L|XL|XXL,7.44
458,Masculine,Pants and Jeans,,38|40|42|44|46|48,14.09
459,Masculine,Suits,,M|L|XL|XXL,13.19
460,Masculine,Sportswear,,M|L|XL|XXL,29.43
461,Masculine,Blazers,,M|L|XL|XXL,9.42
462,Masculine,Accessories,,,11.4
463,Children,Baby (0-12 months),RED,P|M|G,9.75
464,Children,"Girl and Boy (1-5 years, 6-14 years)",BLUE,P|M|G|GG,24.74
465,Children,Coats,PINK,P|M|G,12.26
466,Children,Sweaters,,P|M|G,6.69
467,Children,Pajamas-2,,P|M|G,2.71
468,Children,Accessories,,,5.64
469,Feminine,Coats and Blazers,GREEN,S|M|L|XL,24.89
470,Feminine,Sweaters and Knitwear,BEIGE,S|M|L|XL,17.45
471,Feminine,Dresses and Jumpsuits,BEIGE,S|M|L|XL,35.59
